,Tweet,TOkens
0,There are so many hilarious comments in You Tubechat on @ show tonight.,"['There', 'are', 'so', 'many', 'hilarious', 'comments', 'in', 'You', 'Tubechat', 'on', '@', 'show', 'tonight', '.']"
1," Democrat frontrunner Michael Bloomberg says he wants to make the whole country ""behave"" while dressed as Mary Poppins.Wel…","['Democrat', 'frontrunner', 'Michael', 'Bloomberg', 'says', 'he', 'wants', 'to', 'make', 'the', 'whole', 'country', '``', 'behave', ""''"", 'while', 'dressed', 'as', 'Mary', 'Poppins.Wel…']"
2,The latest COACH!#election2020 #misleadingtweets,"['The', 'latest', 'COACH', '!', '#', 'election2020', '#', 'misleadingtweets']"
3,THERE IS NO ONE TO VOTE FOR! Centrists demand Valium to get them through #Election2020,"['THERE', 'IS', 'NO', 'ONE', 'TO', 'VOTE', 'FOR', '!', 'Centrists', 'demand', 'Valium', 'to', 'get', 'them', 'through', '#', 'Election2020']"
4,RT : Calling all voters!! Are you ready for November?👉🏿RT to spread the word. 🗳️ #Election2020 http…,"['RT', ':', 'Calling', 'all', 'voters', '!', '!', 'Are', 'you', 'ready', 'for', 'November', '?', '👉🏿RT', 'to', 'spread', 'the', 'word', '.', '🗳️', '#', 'Election2020', 'http…']"
5, Team Warren! #PresidentWarren #DemocraticPrimaries #Election2020 ,"['Team', 'Warren', '!', '#', 'PresidentWarren', '#', 'DemocraticPrimaries', '#', 'Election2020']"
6,RT :#Election2020 Enjoy…,"['RT', ':', '#', 'Election2020', 'Enjoy…']"
7, As a man and feminist I am flabbergasted at this Tweet from you. This says so much about your own bi… ,"['As', 'a', 'man', 'and', 'feminist', 'I', 'am', 'flabbergasted', 'at', 'this', 'Tweet', 'from', 'you', '.', 'This', 'says', 'so', 'much', 'about', 'your', 'own', 'bi…']"
8, It's $3 Thursday! I'm asking for everyone to help that is able to donate $3 to my campaign for Congress. Join us and help put p…,"['It', ""'s"", '$', '3', 'Thursday', '!', 'I', ""'m"", 'asking', 'for', 'everyone', 'to', 'help', 'that', 'is', 'able', 'to', 'donate', '$', '3', 'to', 'my', 'campaign', 'for', 'Congress', '.', 'Join', 'us', 'and', 'help', 'put', 'p…']"
9,2020 Presidential Election News Update🗞:2020 Democratic contenders plead for cash after draining their accounts… ,"['2020', 'Presidential', 'Election', 'News', 'Update🗞:2020', 'Democratic', 'contenders', 'plead', 'for', 'cash', 'after', 'draining', 'their', 'accounts…']"
